de,pl
ich,ja
sie,ona/oni/one
das,to
ist,jest
du,ty
nicht,nie
die,ta/ci
es,to
und,i
der,ten
wir,my
was,co
zu,do
er,on
ein,jeden
in,w
ja,tak
mir,mi
mit,z
wie,jak
den,tego
mich,mnie
auf,na
dass,że
aber,ale
eine,jedna
so,tak
hat,ma
hier,tutaj
haben,mieć
für,dla
sind,są
war,był
von,od
wenn,jeśli
dich,ciebie
ihr,jej/wy
nein,nie
habe,mam
an,na/przy
bin,jestem
noch,jeszcze
nur,tylko
da,tam
dir,tobie
sich,się
einen,jednego
uns,nas
hast,masz
dem,temu
kann,mogę
gut,dobrze
auch,także
schon,już
als,jako
sein,być/jego
mal,raz
jetzt,teraz
ihn,jego
dann,wtedy
aus,z
meine,moje
um,aby
im,w
wird,będzie
mein,mój
bist,jesteś
doch,jednak
alles,wszystko
weiß,wiem
keine,żadna/żaden
oder,albo
nach,po
sehen,widzieć
nichts,nic
man,człowiek
muss,muszę
werden,staćsię
will,chcę
ihnen,im
geht,idzie
wo,gdzie
etwas,coś
oh,o
mehr,więcej
bei,u
also,więc
bitte,proszę
immer,zawsze
hab,mam
warum,dlaczego
vor,przed
los,chodźmy
wieder,znowu
sagen,mówić
machen,robić
danke,dziękuję
sehr,bardzo
alle,wszyscy
denn,bo
mann,mężczyzna
tun,robić
ihm,jemu
zum,do
gehen,iść
sehen,widzieć
vielleicht,może
einem,jednemu
wer,kto
ihre,ich/jej
diese,te
euch,wam
einer,jednej
komm,chodź
über,nad
gibt,jest/daje
okay,ok
wissen,wiedzieć
deine,twoje
müssen,musieć
soll,powinien
werde,będę
nie,nigdy
wirklich,naprawdę
hey,hej
kein,żaden
viel,dużo
weg,droga
würde,chciałbym
tut,robi
am,na/w
des,tego
einfach,prosto
leben,życie
hatte,miałem
zeit,czas
weil,ponieważ
willst,chcesz
kommen,przyjść
dein,twój
heute,dziś
kommt,przychodzi
wollen,chcą
damit,aby
ganz,całkowicie
wollte,chciałem
weißt,wiesz
ok,ok
sicher,pewny
gesagt,powiedział
frau,kobieta
nun,teraz
bis,aż
wurde,został
leid,żal
na,na
kannst,możesz
macht,robi
dieser,ten
zurück,zpowrotem
lassen,pozwolić
hallo,cześć
meinen,moje
gott,Bóg
seine,jego
zwei,dwa
genau,dokładnie
waren,byli
zur,do
lass,zostaw
klar,jasne
morgen,jutro
leute,ludzie
vater,ojciec
glaube,wierzę
ab,od
gerade,właśnie
tag,dzień
gesehen,widział
reden,rozmawiać