es,pl
de,z
que,że
no,nie
a,do
la,ta
el,ten
y,i
es,jest
en,w
lo,to
un,jeden
por,przez
me,mnie
una,jedna
los,te
se,się
te,cię
con,z
para,dla
está,jest
mi,mój
pero,ale
si,jeśli
bien,dobrze
eso,to
su,jego/jej
las,te
yo,ja
del,z
como,jak
tu,twój
al,do
más,więcej
le,mu
esto,to
todo,wszystko
ya,już
estoy,jestem
ahora,teraz
muy,bardzo
ha,ma
esta,ta
vamos,idziemy
algo,coś
hay,jest
bueno,dobrze
tengo,mam
cuando,kiedy
estás,jesteś
tú,ty
nos,nas
nada,nic
cómo,jak
este,ten
o,lub
he,zrobiłem
ser,być
tiene,ma
puedo,mogę
ella,ona
quiero,chcę
hacer,robić
fue,był/była
gracias,dziękuję
vez,raz
era,była/był
soy,jestem
sólo,tylko
todos,wszyscy
porque,ponieważ
son,są
tienes,masz
creo,wierzę
voy,idę
sabes,wiesz
estaba,była/był
puede,może
eres,jesteś
ese,ten
usted,pan/pani
entonces,więc
hola,cześć
solo,tylko
verdad,prawda
casa,dom
tan,tak
sus,jego/jej
tiempo,czas
dos,dwa
esa,tamta
nunca,nigdy
dónde,gdzie
va,idzie
oh,o
favor,przysługa
mucho,dużo
quieres,chcesz
siento,czuję
mejor,lepiej
hace,robi
has,masz
decir,powiedzieć
sobre,na/ponad
dios,Bóg
sin,bez
tenemos,mamy
están,są
ti,tobie
puedes,możesz
ver,widzieć
hombre,mężczyzna
vida,życie
alguien,ktoś
cosas,rzeczy
siempre,zawsze
hasta,do
ir,iść
antes,przed
estar,być
ni,ani
poco,mało
uno,jeden
noche,noc
hecho,zrobione
mis,moje
estamos,jesteśmy
otra,inna
acuerdo,zgoda
trabajo,praca
nosotros,my
parece,wydajesię
gente,ludzie
sea,jest/być
padre,ojciec
mira,patrz
mismo,tensam
dijo,powiedział
nadie,nikt
quiere,chce
hablar,rozmawiać
vas,idziesz
ellos,oni
tal,taki
pasa,dziejesię
fuera,nazewnątrz
han,mają
desde,od
dinero,pieniądze
mundo,świat
claro,jasne
momento,moment
les,im
tener,mieć
estado,stan
otro,inny
madre,matka
vale,dobrze
lugar,miejsce
haciendo,robiąc
donde,gdzie
seguro,pewny
sabe,wie
podemos,możemy
tus,twoje
espera,czekać
nuevo,nowy
sido,było
cosa,rzecz
hijo,syn
menos,mniej
tipo,typ
amigo,przyjaciel
gran,wielki
nuestro,nasz
mujer,kobieta
mamá,mama
luego,potem
papá,tata
dice,mówi
hoy,dziś